year_label,total_route_length,double_and_multiple_route_length,double_and_multiple_route_length_2,electrified_route_kilometres_by_line,track_kilometer_total_track,total_kilometer_running_track,number_of_stations,total_investment_rs_cr,passenger_earnings_rs_cr,goods_earnings_rs_cr,capital_at_charge_rs_cr,total_working_capital_rs_cr,operating_ratio,no_of_locomotive_in_service_all_tractions,no_of_locomotive_in_service_steam,no_of_locomotive_in_service_diesel,no_of_locomotive_in_service_electric,no_of_coaching_vehicles,no_of_wagons_in_service,total_traffic_revenue_non_revenue_tonnes_originating,total_traffic_revenue_non_revenue_net_tonne_kilometres,total_revenue_traffic_tonnes_originating,total_revenue_traffic_net_tonne_kilometres,coal_for_total_revenue_coal_tonnes_originating,coal_for_total_revenue_coal_net_tonne_kilometres,total_pig_iron_and_finished_steel_tonnes_originating,total_pig_iron_and_finished_steel_net_tonne_kilometres,total_iron_ore_tonnes_originating,total_iron_ore_net_tonne_kilometres,cement_tonnes_originating,cement_net_tonne_kilometres,food_grains_tonnes_originating,food_grains_net_tonne_kilometres,fertilizers_tonnes_originating,fertilizers_net_tonne_kilometres,mineral_oil_p_o_l_tonnes_originating,mineral_oil_p_o_l_net_tonne_kilometres,total_container_tonnes_originating,total_container_net_tonne_kilometres,average_rate_per_passenger_kilometre_paise,passengers_originating_million,passenger_kilometres_million,average_number_of_trains_run_daily,electric_locomotives,no_of_employees_in_thousands,avg_yearly_wage_per_employee,repai_and_maintenence_plant_and_equipment_in_cr,repair_and_maintence_wagons_carriages_in_cr,fuel_expense_in_cr,total_working_expenditure_in_cr,fiscal_deficit_gdp,private_investment_transport_mn,ppp_in_transport_thous,gov_expenditure_gdp_2024,real_interest_rate,gdp_deflator_growth_rate_y_y_chg,energy_price_inflation_y_y_chg,contribution_to_real_gdp_railways_disc_pt,contribution_to_real_gdp_bil_inr,gdp_per_capita_inr,real_gdp_growth_of_railways
2007-08,63273.0,17737.0,17737.0,18273.0,111599.0,85158.0,7025.0,151055.9,19783.3,47434.9,73745.0,54462.2,75.94,8330.0,44.0,4843.0,3443.0,46876.0,,804.1,523196.0,793.9,521371.0,336.8,208488.0,25.8,25070.0,136.7,54068.0,79.0,43207.0,38.2,46865.0,35.8,25808.0,35.9,23405.0,21.1,23097.0,26.1,6920.0,838032.0,17754.0,3443.0,1394.0,186067.0,2310.28,4430.5,12150.08,54462.2,-3.73,3924.92,3924920.0,26.945,5.682,5.8,4.6,0.062,3443.0,59870.15,4.52
2008-09,64015.0,18173.0,18173.0,18559.0,113115.0,86937.0,7030.0,176287.0,21866.5,53433.4,83290.4,71839.3,90.46,8593.0,43.0,4964.0,3586.0,48540.0,212835.0,836.6,552002.0,833.4,551448.0,369.6,230124.0,28.6,26956.0,130.6,50789.0,86.2,46538.0,35.5,45580.0,41.4,33112.0,38.1,24020.0,30.3,38083.0,25.9,7246.0,903465.0,18518.0,3586.0,1386.0,290784.0,3318.4,6236.2,13887.6,71839.3,-8.15,5254.04,5254040.0,29.293,3.772,8.7,4.5,0.048,3586.0,61807.18,4.153354633
2009-10,63974.0,18607.0,18607.0,18927.0,113617.0,87087.0,7083.0,202868.9,23414.4,58501.7,100201.4,82915.4,95.48,8889.0,42.0,5022.0,3825.0,49983.0,220549.0,892.2,601290.0,887.8,600548.0,396.2,247043.0,31.9,31479.0,132.7,53947.0,93.1,53792.0,38.7,50294.0,43.7,36568.0,38.9,24866.0,34.9,44255.0,26.3,7651.0,978508.0,18820.0,3825.0,1362.0,382472.0,4279.03,7698.28,14555.27,82915.4,-9.26,4871.75,4871750.0,28.543,4.809,6.1,13.7,0.063,3825.0,64054.91,6.664807585
2010-11,64460.0,19227.0,19227.0,19608.0,114037.0,87114.0,7133.0,231121.1,25705.6,62844.7,118586.3,89474.2,94.59,9213.0,43.0,5137.0,4033.0,51582.0,229997.0,926.4,626473.0,921.7,625723.0,420.4,268296.0,32.8,32234.0,118.5,46357.0,99.1,56952.0,43.4,51996.0,48.2,40714.0,39.3,26085.0,37.6,40990.0,27.0,8224.0,1046522.0,19186.0,4033.0,1332.0,394112.0,4130.33,7587.2,16747.67,89474.2,-8.53,15494.8,15494800.0,27.985,-1.984,9.0,26.6,0.038,4033.0,69195.75,5.437908497
2011-12,64600.0,19368.0,19368.0,20275.0,115062.0,89801.0,7146.0,257463.3,28246.4,69547.6,138547.3,98667.4,94.85,9549.0,43.0,5197.0,4309.0,53263.0,239316.0,975.2,668618.0,969.1,667607.0,455.8,291455.0,35.2,33919.0,104.7,40300.0,107.7,62036.0,46.4,57927.0,52.7,43810.0,39.8,26096.0,38.0,45298.0,28.5,8421.0,1098103.0,19710.0,4309.0,1306.0,456357.0,4380.72,8154.92,18809.09,98667.4,-8.03,17667.5,17667500.0,27.641,1.318,5.2,4.5,0.05,4309.0,71735.82,6.843540788
2012-13,65436.0,19843.0,19843.0,20884.0,115833.0,89236.0,7172.0,288849.1,31322.8,85262.6,162678.9,111572.0,90.19,9956.0,43.0,5345.0,4568.0,54651.0,244818.0,1014.2,650625.0,1008.1,649645.0,496.4,276180.0,35.3,33555.0,111.4,38035.0,105.9,60783.0,49.0,63818.0,46.2,39043.0,40.6,28082.0,41.1,49416.0,31.5,8397.057,1158742.0,20737.0,4568.0,1307.0,527295.0,4766.41,9031.12,22326.94,111572.0,-7.32,22034.8,22034800.0,27.364,2.474,7.9,9.2,0.092,4568.0,74108.29,6.010675331
2013-14,65807.63,19988.87,19988.87,21614.0,116764.98,89919.01,7112.0,324820.6,36532.2537,93905.6327,189746.2499,130320.7523,93.6,10499.0,43.0,5633.0,4823.0,56986.0,245267.0,1058.811,666728.261,1051.635,665810.045,508.055,271919.613,38.945,34952.061,27.806,27972.756,66.827,16429.492,50.881,18115.825,109.802,60502.119,55.094,70540.086,44.703,34498.413,36.8,8224.117,1147190.212,21598.0,4823.0,1334.0,585620.0,5361.2351,10124.871,29234.9753,130320.7523,-6.78,5136.4,5136400.0,26.6,3.866,6.2,8.1,0.049,4823.0,77649.54,5.582311734
2014-15,66029.64,20632.77,20632.77,22224.29,117996.35,90803.41,7137.0,365344.1359,42189.6054,105821.5358,219867.0794,142995.8764,91.25,10773.0,43.0,5714.0,5016.0,58798.0,254018.0,1101.085,682612.13,1095.262,681696.499,545.814,301519.121,42.843,37381.629,28.249,28994.143,69.435,19217.449,40.85,16217.853,109.795,59083.75,55.474,66982.373,47.41,38751.881,38.7,8107.3294,1143038.914,22300.0,5016.0,1326.0,651376.0,5953.0767,11022.802,28766.4645,142995.8764,-6.9,2931.65,2931650.0,26.22,6.695,3.3,6.1,0.072,5016.0,82109.72,4.001658719
2015-16,66687.46,21236.56,21236.56,23555.05,119630.09,92084.09,7216.0,415717.5441,44283.2647,109207.655,28027.0304,147835.9285,90.48,11122.0,39.0,5869.0,5214.0,59844.0,251295.0,1108.617,655605.034,1101.51,654480.608,551.83,280699.978,44.789,40442.878,29.592,30502.506,78.634,19131.057,36.184,12341.808,105.347,55958.588,45.733,60125.747,52.227,43700.282,40.2,8116.1006,1149834.945,22525.0,5214.0,1330.0,715726.0,6174.6221,11648.8204,25783.6378,147835.9285,-7.28,2047.22,2047220.0,27.059,7.556,2.3,4.8,0.045,5214.0,87226.65,3.947368421
2016-17,67367.82,22020.97,22020.97,25367.28,121402.47,93897.02,7349.0,468119.086,46280.4608,104338.5383,32849.606,159029.6093,96.5,11463.0,39.0,6025.0,5399.0,60337.0,277992.0,1110.945,620857.542,1106.149,620174.91,532.832,249615.206,52.413,44027.185,38.435,34246.699,83.701,20390.987,43.287,14334.768,103.284,54599.656,44.856,57809.263,48.343,39216.458,41.3,8285.7731,1177699.476,22550.0,5399.0,1309.0,908263.0,7015.4399,13461.8688,26180.8932,159029.6093,-7.21,2623.12,2623120.0,27.233,6.233,3.2,5.2,-0.029,5399.0,93906.61,3.548139624
