variable,lasso_coefficient,selected
total_route_length,-1.1010387652717581,yes
double_and_multiple_route_length,0.0,no
double_and_multiple_route_length_2,0.0,no
electrified_route_kilometres_by_line,0.0,no
track_kilometer_total_track,0.0,no
total_kilometer_running_track,0.0,no
number_of_stations,-1.2755065568634272,yes
total_investment_rs_cr,0.0,no
passenger_earnings_rs_cr,-0.0,no
goods_earnings_rs_cr,-0.0,no
capital_at_charge_rs_cr,-0.0,no
total_working_capital_rs_cr,-0.0,no
operating_ratio,-0.0,no
no_of_locomotive_in_service_all_tractions,0.0,no
no_of_locomotive_in_service_steam,-0.4654358571523116,yes
no_of_locomotive_in_service_diesel,-0.0,no
no_of_locomotive_in_service_electric,0.0,no
no_of_coaching_vehicles,0.0,no
no_of_wagons_in_service,0.0,no
total_traffic_revenue_non_revenue_tonnes_originating,0.0,no
total_traffic_revenue_non_revenue_net_tonne_kilometres,0.0,no
total_revenue_traffic_tonnes_originating,0.0,no
total_revenue_traffic_net_tonne_kilometres,0.0,no
coal_for_total_revenue_coal_tonnes_originating,-0.0,no
coal_for_total_revenue_coal_net_tonne_kilometres,0.0,no
total_pig_iron_and_finished_steel_tonnes_originating,-0.0,no
total_pig_iron_and_finished_steel_net_tonne_kilometres,0.0,no
total_iron_ore_tonnes_originating,0.0,no
total_iron_ore_net_tonne_kilometres,0.21612911457310416,yes
cement_tonnes_originating,0.0,no
cement_net_tonne_kilometres,0.0,no
food_grains_tonnes_originating,1.3127290290636109,yes
food_grains_net_tonne_kilometres,0.0,no
fertilizers_tonnes_originating,-0.0,no
fertilizers_net_tonne_kilometres,0.0,no
mineral_oil_p_o_l_tonnes_originating,0.0,no
mineral_oil_p_o_l_net_tonne_kilometres,-0.0,no
total_container_tonnes_originating,0.0,no
total_container_net_tonne_kilometres,0.2544987257569114,yes
average_rate_per_passenger_kilometre_paise,0.0,no
passengers_originating_million,-1.2446109783864774,yes
passenger_kilometres_million,-0.0,no
average_number_of_trains_run_daily,-0.11510516104316981,yes
electric_locomotives,0.0,no
no_of_employees_in_thousands,-2.5730635007613643,yes
avg_yearly_wage_per_employee,0.0,no
repai_and_maintenence_plant_and_equipment_in_cr,0.0,no
repair_and_maintence_wagons_carriages_in_cr,0.0,no
fuel_expense_in_cr,-0.0,no
total_working_expenditure_in_cr,-0.0,no
fiscal_deficit_gdp,-0.22357472705064835,yes
private_investment_transport_mn,0.0,no
ppp_in_transport_thous,0.0,no
gov_expenditure_gdp_2024,-0.0,no
real_interest_rate,0.30331840053989,yes
gdp_deflator_growth_rate_y_y_chg,-0.08681401271879335,yes
energy_price_inflation_y_y_chg,0.10363286874265824,yes
contribution_to_real_gdp_railways_disc_pt,-0.29060876285909676,yes
contribution_to_real_gdp_bil_inr,0.0,no
gdp_per_capita_inr,-0.0,no
