variable,lasso_coefficient,selected
lag_real_gdp_growth_of_railways,0.0,no
lag_total_route_length,0.0,no
lag_double_and_multiple_route_length,0.0,no
lag_double_and_multiple_route_length_2,0.0,no
lag_electrified_route_kilometres_by_line,0.16533891537167975,yes
lag_track_kilometer_total_track,0.0,no
lag_total_kilometer_running_track,0.0,no
lag_number_of_stations,0.0,no
lag_total_investment_rs_cr,0.0,no
lag_passenger_earnings_rs_cr,-0.0,no
lag_goods_earnings_rs_cr,0.0,no
lag_capital_at_charge_rs_cr,0.45900695486431337,yes
lag_total_working_capital_rs_cr,0.0,no
lag_operating_ratio,0.28325110389810826,yes
lag_no_of_locomotive_in_service_all_tractions,0.0,no
lag_no_of_locomotive_in_service_steam,-0.0,no
lag_no_of_locomotive_in_service_diesel,-0.0,no
lag_no_of_locomotive_in_service_electric,0.0,no
lag_no_of_coaching_vehicles,0.0,no
lag_no_of_wagons_in_service,0.0,no
lag_total_traffic_revenue_non_revenue_tonnes_originating,0.0,no
lag_total_traffic_revenue_non_revenue_net_tonne_kilometres,0.0,no
lag_total_revenue_traffic_tonnes_originating,0.0,no
lag_total_revenue_traffic_net_tonne_kilometres,0.0,no
lag_coal_for_total_revenue_coal_tonnes_originating,-0.0,no
lag_coal_for_total_revenue_coal_net_tonne_kilometres,-0.0,no
lag_total_pig_iron_and_finished_steel_tonnes_originating,0.0,no
lag_total_pig_iron_and_finished_steel_net_tonne_kilometres,0.0,no
lag_total_iron_ore_tonnes_originating,0.0,no
lag_total_iron_ore_net_tonne_kilometres,0.4820581306749437,yes
lag_cement_tonnes_originating,0.0,no
lag_cement_net_tonne_kilometres,0.0,no
lag_food_grains_tonnes_originating,0.0,no
lag_food_grains_net_tonne_kilometres,0.0,no
lag_fertilizers_tonnes_originating,-0.0,no
lag_fertilizers_net_tonne_kilometres,0.0,no
lag_mineral_oil_p_o_l_tonnes_originating,-0.0,no
lag_mineral_oil_p_o_l_net_tonne_kilometres,-0.0,no
lag_total_container_tonnes_originating,-0.0,no
lag_total_container_net_tonne_kilometres,0.0,no
lag_average_rate_per_passenger_kilometre_paise,0.0,no
lag_passengers_originating_million,-0.0,no
lag_passenger_kilometres_million,-0.9018035894637553,yes
lag_average_number_of_trains_run_daily,-0.0,no
lag_electric_locomotives,0.0,no
lag_no_of_employees_in_thousands,-1.8507967518896782,yes
lag_avg_yearly_wage_per_employee,0.0,no
lag_repai_and_maintenence_plant_and_equipment_in_cr,0.0,no
lag_repair_and_maintence_wagons_carriages_in_cr,0.0,no
lag_fuel_expense_in_cr,-0.0,no
lag_total_working_expenditure_in_cr,0.0,no
lag_fiscal_deficit_gdp,-0.0,no
lag_private_investment_transport_mn,-0.0,no
lag_ppp_in_transport_thous,-0.0,no
lag_gov_expenditure_gdp_2024,0.0,no
lag_real_interest_rate,-0.0,no
lag_gdp_deflator_growth_rate_y_y_chg,0.2659846955890495,yes
lag_energy_price_inflation_y_y_chg,0.0,no
lag_contribution_to_real_gdp_railways_disc_pt,-0.0,no
lag_contribution_to_real_gdp_bil_inr,0.0,no
lag_gdp_per_capita_inr,0.0,no
