scenario,horizon_years_ahead,forecast_year,predicted_real_gdp_growth_of_railways
baseline,1,2024-25,14.906470679425631
baseline,2,2025-26,16.0993327176126
baseline,3,2026-27,16.0993327176126
baseline,4,2027-28,16.0993327176126
baseline,5,2028-29,16.0993327176126
baseline,6,2029-30,16.0993327176126
baseline,7,2030-31,16.0993327176126
baseline,8,2031-32,16.0993327176126
baseline,9,2032-33,16.0993327176126
baseline,10,2033-34,16.0993327176126
optimistic,1,2024-25,14.906470679425631
optimistic,2,2025-26,16.991137113797514
optimistic,3,2026-27,16.991137113797514
optimistic,4,2027-28,16.991137113797514
optimistic,5,2028-29,16.991137113797514
optimistic,6,2029-30,16.991137113797514
optimistic,7,2030-31,16.991137113797514
optimistic,8,2031-32,16.991137113797514
optimistic,9,2032-33,16.991137113797514
optimistic,10,2033-34,16.991137113797514
pessimistic,1,2024-25,14.906470679425631
pessimistic,2,2025-26,15.207528321427688
pessimistic,3,2026-27,15.207528321427688
pessimistic,4,2027-28,15.207528321427688
pessimistic,5,2028-29,15.207528321427688
pessimistic,6,2029-30,15.207528321427688
pessimistic,7,2030-31,15.207528321427688
pessimistic,8,2031-32,15.207528321427688
pessimistic,9,2032-33,15.207528321427688
pessimistic,10,2033-34,15.207528321427688
