scenario,horizon_years_ahead,forecast_year,predicted_real_gdp_growth_of_railways
baseline,1,2024-25,11.637981652673098
baseline,2,2025-26,11.668212507330733
baseline,3,2026-27,11.695762612905902
baseline,4,2027-28,11.720869687310472
baseline,5,2028-29,11.743750368599937
baseline,6,2029-30,11.764602084249244
baseline,7,2030-31,11.783604754668843
baseline,8,2031-32,11.80092234565987
baseline,9,2032-33,11.816704283203933
baseline,10,2033-34,11.83108674279509
optimistic,1,2024-25,11.637981652673098
optimistic,2,2025-26,11.668212507330733
optimistic,3,2026-27,11.695762612905902
optimistic,4,2027-28,11.720869687310472
optimistic,5,2028-29,11.743750368599937
optimistic,6,2029-30,11.764602084249244
optimistic,7,2030-31,11.783604754668843
optimistic,8,2031-32,11.80092234565987
optimistic,9,2032-33,11.816704283203933
optimistic,10,2033-34,11.83108674279509
pessimistic,1,2024-25,11.637981652673098
pessimistic,2,2025-26,11.668212507330733
pessimistic,3,2026-27,11.695762612905902
pessimistic,4,2027-28,11.720869687310472
pessimistic,5,2028-29,11.743750368599937
pessimistic,6,2029-30,11.764602084249244
pessimistic,7,2030-31,11.783604754668843
pessimistic,8,2031-32,11.80092234565987
pessimistic,9,2032-33,11.816704283203933
pessimistic,10,2033-34,11.83108674279509
