variable,missing_count
year_label,0
start_year,0
total_route_length,0
double_and_multiple_route_length,0
double_and_multiple_route_length_2,0
electrified_route_kilometres_by_line,0
track_kilometer_total_track,0
total_kilometer_running_track,0
number_of_stations,3
total_investment_rs_cr,0
passenger_earnings_rs_cr,0
goods_earnings_rs_cr,0
capital_at_charge_rs_cr,0
total_working_capital_rs_cr,0
operating_ratio,0
no_of_locomotive_in_service_all_tractions,0
no_of_locomotive_in_service_steam,0
no_of_locomotive_in_service_diesel,0
no_of_locomotive_in_service_electric,0
no_of_coaching_vehicles,2
no_of_wagons_in_service,1
total_traffic_revenue_non_revenue_tonnes_originating,0
total_traffic_revenue_non_revenue_net_tonne_kilometres,0
total_revenue_traffic_tonnes_originating,0
total_revenue_traffic_net_tonne_kilometres,0
coal_for_total_revenue_coal_tonnes_originating,0
coal_for_total_revenue_coal_net_tonne_kilometres,0
total_pig_iron_and_finished_steel_tonnes_originating,0
total_pig_iron_and_finished_steel_net_tonne_kilometres,0
total_iron_ore_tonnes_originating,0
total_iron_ore_net_tonne_kilometres,0
cement_tonnes_originating,0
cement_net_tonne_kilometres,0
food_grains_tonnes_originating,0
food_grains_net_tonne_kilometres,0
fertilizers_tonnes_originating,0
fertilizers_net_tonne_kilometres,0
mineral_oil_p_o_l_tonnes_originating,0
mineral_oil_p_o_l_net_tonne_kilometres,0
total_container_tonnes_originating,0
total_container_net_tonne_kilometres,0
average_rate_per_passenger_kilometre_paise,1
passengers_originating_million,1
passenger_kilometres_million,1
average_number_of_trains_run_daily,0
electric_locomotives,1
no_of_employees_in_thousands,1
avg_yearly_wage_per_employee,1
repai_and_maintenence_plant_and_equipment_in_cr,1
repair_and_maintence_wagons_carriages_in_cr,1
fuel_expense_in_cr,1
total_working_expenditure_in_cr,1
fiscal_deficit_gdp,0
private_investment_transport_mn,1
ppp_in_transport_thous,1
gov_expenditure_gdp_2024,0
real_interest_rate,2
gdp_deflator_growth_rate_y_y_chg,0
energy_price_inflation_y_y_chg,3
contribution_to_real_gdp_railways_disc_pt,1
contribution_to_real_gdp_bil_inr,1
gdp_per_capita_inr,0
real_gdp_growth_of_railways,1
investment_growth,1
goods_earnings_growth,1
freight_growth,1
passenger_km_growth,2
lag_rail_gdp_growth,1
lag_investment_growth,2
lag_goods_earnings_growth,2
lag_freight_growth,2
lag_passenger_km_growth,2
lag_fiscal_deficit,1
lag_real_interest_rate,2
lag_gdp_deflator,1
