average_number_of_trains_run_daily,average_rate_per_passenger_kilometre_paise,avg_yearly_wage_per_employee,capital_at_charge_rs_cr,cement_net_tonne_kilometres,cement_tonnes_originating,coal_for_total_revenue_coal_net_tonne_kilometres,coal_for_total_revenue_coal_tonnes_originating,contribution_to_real_gdp_bil_inr,contribution_to_real_gdp_railways_disc_pt,double_and_multiple_route_length,double_and_multiple_route_length_2,electric_locomotives,electrified_route_kilometres_by_line,energy_price_inflation_y_y_chg,fertilizers_net_tonne_kilometres,fertilizers_tonnes_originating,fiscal_deficit_gdp,food_grains_net_tonne_kilometres,food_grains_tonnes_originating,freight_growth,fuel_expense_in_cr,gdp_deflator_growth_rate_y_y_chg,gdp_per_capita_inr,goods_earnings_growth,goods_earnings_rs_cr,gov_expenditure_gdp_2024,investment_growth,lag_fiscal_deficit,lag_freight_growth,lag_gdp_deflator,lag_goods_earnings_growth,lag_investment_growth,lag_passenger_km_growth,lag_rail_gdp_growth,lag_real_interest_rate,mineral_oil_p_o_l_net_tonne_kilometres,mineral_oil_p_o_l_tonnes_originating,no_of_coaching_vehicles,no_of_employees_in_thousands,no_of_locomotive_in_service_all_tractions,no_of_locomotive_in_service_diesel,no_of_locomotive_in_service_electric,no_of_locomotive_in_service_steam,no_of_wagons_in_service,number_of_stations,operating_ratio,passenger_earnings_rs_cr,passenger_kilometres_million,passenger_km_growth,passengers_originating_million,ppp_in_transport_thous,private_investment_transport_mn,real_gdp_growth_of_railways,real_interest_rate,repai_and_maintenence_plant_and_equipment_in_cr,repair_and_maintence_wagons_carriages_in_cr,start_year,total_container_net_tonne_kilometres,total_container_tonnes_originating,total_investment_rs_cr,total_iron_ore_net_tonne_kilometres,total_iron_ore_tonnes_originating,total_kilometer_running_track,total_pig_iron_and_finished_steel_net_tonne_kilometres,total_pig_iron_and_finished_steel_tonnes_originating,total_revenue_traffic_net_tonne_kilometres,total_revenue_traffic_tonnes_originating,total_route_length,total_traffic_revenue_non_revenue_net_tonne_kilometres,total_traffic_revenue_non_revenue_tonnes_originating,total_working_capital_rs_cr,total_working_expenditure_in_cr,track_kilometer_total_track,year_label
18820.0,26.3,382472.0,100201.4,53792.0,93.1,247043.0,396.2,3825.0,0.063,18607.0,18607.0,3825.0,18927.0,13.7,36568.0,43.7,-9.26,50294.0,38.7,6.527477801775855,14555.27,6.1,64054.91,9.485265770098843,58501.7,28.543,15.078763607072554,-8.15,4.975437712558257,8.7,12.645752389063746,16.703154262759686,7.8079357351509255,4.153354633,3.772,24866.0,38.9,49983.0,1362.0,8889.0,5022.0,3825.0,42.0,220549.0,7083.0,95.48,23414.4,978508.0,8.30613250098233,7651.0,4871750.0,4871.75,6.664807585,4.809,4279.03,7698.28,2009,44255.0,34.9,202868.9,53947.0,132.7,87087.0,31479.0,31.9,600548.0,887.8,63974.0,601290.0,892.2,82915.4,82915.4,113617.0,2009-10
19186.0,27.0,394112.0,118586.3,56952.0,99.1,268296.0,420.4,4033.0,0.038,19227.0,19227.0,4033.0,19608.0,26.6,40714.0,48.2,-8.53,51996.0,43.4,3.818427573777888,16747.67,9.0,69195.75,7.423715892016814,62844.7,27.985,13.926333706152109,-9.26,6.527477801775855,6.1,9.485265770098843,15.078763607072554,8.30613250098233,6.664807585,4.809,26085.0,39.3,51582.0,1332.0,9213.0,5137.0,4033.0,43.0,229997.0,7133.0,94.59,25705.6,1046522.0,6.950786299141141,8224.0,15494800.0,15494.8,5.437908497,-1.984,4130.33,7587.2,2010,40990.0,37.6,231121.1,46357.0,118.5,87114.0,32234.0,32.8,625723.0,921.7,64460.0,626473.0,926.4,89474.2,89474.2,114037.0,2010-11
19710.0,28.5,456357.0,138547.3,62036.0,107.7,291455.0,455.8,4309.0,0.05,19368.0,19368.0,4309.0,20275.0,4.5,43810.0,52.7,-8.03,57927.0,46.4,5.142671151133771,18809.09,5.2,71735.82,10.6658158921914,69547.6,27.641,11.397574691363092,-8.53,3.818427573777888,9.0,7.423715892016814,13.926333706152109,6.950786299141141,5.437908497,-1.984,26096.0,39.8,53263.0,1306.0,9549.0,5197.0,4309.0,43.0,239316.0,7146.0,94.85,28246.4,1098103.0,4.928802261204256,8421.0,17667500.0,17667.5,6.843540788,1.318,4380.72,8154.92,2011,45298.0,38.0,257463.3,40300.0,104.7,89801.0,33919.0,35.2,667607.0,969.1,64600.0,668618.0,975.2,98667.4,98667.4,115062.0,2011-12
20737.0,31.5,527295.0,162678.9,60783.0,105.9,276180.0,496.4,4568.0,0.092,19843.0,19843.0,4568.0,20884.0,9.2,39043.0,46.2,-7.32,63818.0,49.0,4.024352492002889,22326.94,7.9,74108.29,22.596034945850036,85262.6,27.364,12.190397621719287,-8.03,5.142671151133771,5.2,10.6658158921914,11.397574691363092,4.928802261204256,6.843540788,1.318,28082.0,40.6,54651.0,1307.0,9956.0,5345.0,4568.0,43.0,244818.0,7172.0,90.19,31322.8,1158742.0,5.522159578837322,8397.057,22034800.0,22034.8,6.010675331,2.474,4766.41,9031.12,2012,49416.0,41.1,288849.1,38035.0,111.4,89236.0,33555.0,35.3,649645.0,1008.1,65436.0,650625.0,1014.2,111572.0,111572.0,115833.0,2012-13
21598.0,36.8,585620.0,189746.2499,16429.492,66.827,271919.613,508.055,4823.0,0.049,19988.87,19988.87,4823.0,21614.0,8.1,60502.119,109.802,-6.78,18115.825,50.881,4.318519988096416,29234.9753,6.2,77649.54,10.136956531937797,93905.6327,26.6,12.45338829167202,-7.32,4.024352492002889,7.9,22.596034945850036,12.190397621719287,5.522159578837322,6.010675331,2.474,70540.086,55.094,56986.0,1334.0,10499.0,5633.0,4823.0,43.0,245267.0,7112.0,93.6,36532.2537,1147190.212,-0.9969249410136115,8224.117,5136400.0,5136.4,5.582311734,3.866,5361.2351,10124.871,2013,34498.413,44.703,324820.6,27972.756,27.806,89919.01,34952.061,38.945,665810.045,1051.635,65807.63,666728.261,1058.811,130320.7523,130320.7523,116764.98,2013-14
22300.0,38.7,651376.0,219867.0794,19217.449,69.435,301519.121,545.814,5016.0,0.072,20632.77,20632.77,5016.0,22224.29,6.1,59083.75,109.795,-6.9,16217.853,40.85,4.14849258535518,28766.4645,3.3,82109.72,12.689231473545032,105821.5358,26.22,12.475666845021536,-6.78,4.318519988096416,6.2,10.136956531937797,12.45338829167202,-0.9969249410136115,5.582311734,3.866,66982.373,55.474,58798.0,1326.0,10773.0,5714.0,5016.0,43.0,254018.0,7137.0,91.25,42189.6054,1143038.914,-0.36186658119777887,8107.3294,2931650.0,2931.65,4.001658719,6.695,5953.0767,11022.802,2014,38751.881,47.41,365344.1359,28994.143,28.249,90803.41,37381.629,42.843,681696.499,1095.262,66029.64,682612.13,1101.085,142995.8764,142995.8764,117996.35,2014-15
22525.0,40.2,715726.0,28027.0304,19131.057,78.634,280699.978,551.83,5214.0,0.045,21236.56,21236.56,5214.0,23555.05,4.8,55958.588,105.347,-7.28,12341.808,36.184,0.5704571143708125,25783.6378,2.3,87226.65,3.1998394035781903,109207.655,27.059,13.787933964208458,-6.9,4.14849258535518,3.3,12.689231473545032,12.475666845021536,-0.36186658119777887,4.001658719,6.695,60125.747,45.733,59844.0,1330.0,11122.0,5869.0,5214.0,39.0,251295.0,7216.0,90.48,44283.2647,1149834.945,0.5945581481751686,8116.1006,2047220.0,2047.22,3.947368421,7.556,6174.6221,11648.8204,2015,43700.282,52.227,415717.5441,30502.506,29.592,92084.09,40442.878,44.789,654480.608,1101.51,66687.46,655605.034,1108.617,147835.9285,147835.9285,119630.09,2015-16
22550.0,41.3,908263.0,32849.606,20390.987,83.701,249615.206,532.832,5399.0,-0.029,22020.97,22020.97,5399.0,25367.28,5.2,54599.656,103.284,-7.21,14334.768,43.287,0.4211491498034422,26180.8932,3.2,93906.61,-4.458585526811283,104338.5383,27.233,12.605083101182501,-7.28,0.5704571143708125,2.3,3.1998394035781903,13.787933964208458,0.5945581481751686,3.947368421,7.556,57809.263,44.856,60337.0,1309.0,11463.0,6025.0,5399.0,39.0,277992.0,7349.0,96.5,46280.4608,1177699.476,2.423350509668147,8285.7731,2623120.0,2623.12,3.548139624,6.233,7015.4399,13461.8688,2016,39216.458,48.343,468119.086,34246.699,38.435,93897.02,44027.185,52.413,620174.91,1106.149,67367.82,620857.542,1110.945,159029.6093,159029.6093,121402.47,2016-17
22593.0,44.1,1018501.0,296146.9607,24003.592,86.603,276692.412,555.2,5639.0,0.047,22962.89,22962.89,5639.0,29375.69,5.7,63953.785,112.961,-6.33,16208.699,45.005,4.8275593975133635,27775.408,4.0,98628.94,12.188078065111252,117055.4008,26.232,10.73065719862573,-7.21,0.4211491498034422,3.2,-4.458585526811283,12.605083101182501,2.423350509668147,3.548139624,6.233,61750.358,43.789,60558.0,1271.0,11764.0,6086.0,5639.0,39.0,279308.0,7318.0,98.44,48643.1393,1157174.255,-1.7428233108936302,8439.057,3482900.0,3482.9,4.445267642,5.328,7379.4546,14468.5811,2017,42035.453,48.534,518351.3404,35701.273,35.467,94735.48,49047.836,54.359,692916.407,1159.549,68442.35,693281.471,1162.639,175834.2213,175834.2213,123236.18,2017-18
22669.0,48.2,1102934.0,330984.6525,25066.488,89.018,311487.128,605.839,6059.0,0.026,24411.23,24411.23,6059.0,34318.64,7.6,67818.355,117.342,-6.46,16204.377,42.704,5.340783356287668,30393.7803,3.7,104632.9,8.86530816098833,127432.7228,26.328,10.865071817223377,-6.33,4.8275593975133635,4.0,12.188078065111252,10.73065719862573,-1.7428233108936302,4.445267642,5.328,57574.593,39.308,61664.0,1228.0,12147.0,6049.0,6059.0,39.0,289175.0,7321.0,97.29,51066.6492,1050738.051,-9.197940892661833,8085.7378,6607520.0,6607.52,7.448129101,5.362,8040.9895,15285.6545,2018,46834.458,51.835,574670.5858,34468.128,31.817,95986.98,49926.04,53.983,738523.061,1221.478,67415.12,738923.005,1225.287,184780.3043,184780.3043,123548.44,2018-19
