scenario,horizon_years_ahead,forecast_year,predicted_real_gdp_growth_of_railways
baseline,1,2024-25,11.779477
baseline,2,2025-26,11.352146
baseline,3,2026-27,11.029594
baseline,4,2027-28,10.786128
baseline,5,2028-29,10.602358
baseline,6,2029-30,10.463647
baseline,7,2030-31,10.358946
baseline,8,2031-32,10.279918
baseline,9,2032-33,10.220266
baseline,10,2033-34,10.175241
optimistic,1,2024-25,11.779477
optimistic,2,2025-26,11.57517
optimistic,3,2026-27,11.420958
optimistic,4,2027-28,11.304557
optimistic,5,2028-29,11.216697
optimistic,6,2029-30,11.150379
optimistic,7,2030-31,11.100322
optimistic,8,2031-32,11.062538
optimistic,9,2032-33,11.034019
optimistic,10,2033-34,11.012492
pessimistic,1,2024-25,11.779477
pessimistic,2,2025-26,11.129123
pessimistic,3,2026-27,10.638229
pessimistic,4,2027-28,10.267699
pessimistic,5,2028-29,9.988019
pessimistic,6,2029-30,9.776915
pessimistic,7,2030-31,9.617571
pessimistic,8,2031-32,9.497297
pessimistic,9,2032-33,9.406514
pessimistic,10,2033-34,9.337989
